SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
0,UN,State Unassigned,UN_Unassigned,Unassigned,8443,8443,0,0,0,966,966,0,0,,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,0,,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,0,,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,32,0,32,0,0,0,0,0,0,,
0,AP,Andhra Pradesh,AP_Foreign Evacuees,Foreign Evacuees,132,114,18,0,0,0,-12,12,0,,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,306,128,173,5,0,0,-1,0,1,,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,303,86,213,4,0,0,0,0,0,,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,281,165,114,2,0,0,0,0,0,,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,566,164,393,9,0,0,0,0,0,,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,570,193,353,24,0,0,-1,0,1,,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,776,145,603,28,0,0,0,0,0,,
0,AP,Andhra Pradesh,AP_Other State,Other State,907,553,354,0,0,69,33,36,0,,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,86,17,69,0,0,0,0,0,0,,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,352,160,188,4,0,0,0,0,0,,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,33,22,11,0,0,0,0,0,0,,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,143,59,83,1,0,0,0,0,0,,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,45,32,13,0,0,0,0,0,0,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,209,149,60,0,0,0,0,0,0,,
